facility_name,barcode,name,start_datetime,end_datetime,num_people,num_waitlist,has_reg_early_started,has_reg_ended,has_reg_priority_started,has_reg_return_started,has_reg_started
Badminton Court 4,395254,Badminton Court 4 - Tuesday  Feb 11 - 8:00 AM,2025-02-11 05:00:00,2025-02-11 06:00:00,0,0,True,False,True,True,True
Badminton Court 5,395255,Badminton Court 5 - Tuesday  Feb 11 - 8:00 AM,2025-02-11 05:00:00,2025-02-11 06:00:00,0,0,True,False,True,True,True
Badminton Court 6,395256,Badminton Court 6 - Tuesday  Feb 11 - 8:00 AM,2025-02-11 05:00:00,2025-02-11 06:00:00,0,0,True,False,True,True,True
Badminton Court 1,395341,Badminton Court 1 - Wednesday  Feb 12 - 7:00 AM,2025-02-12 04:00:00,2025-02-12 05:00:00,0,0,True,False,True,True,True
Badminton Court 2,395342,Badminton Court 2 - Wednesday  Feb 12 - 7:00 AM,2025-02-12 04:00:00,2025-02-12 05:00:00,0,0,True,False,True,True,True
Badminton Court 3,395343,Badminton Court 3 - Wednesday  Feb 12 - 7:00 AM,2025-02-12 04:00:00,2025-02-12 05:00:00,1,0,True,False,True,True,True
Badminton Court 4,395344,Badminton Court 4 - Wednesday  Feb 12 - 7:00 AM,2025-02-12 04:00:00,2025-02-12 05:00:00,0,0,True,False,True,True,True
Badminton Court 5,395345,Badminton Court 5 - Wednesday  Feb 12 - 7:00 AM,2025-02-12 04:00:00,2025-02-12 05:00:00,0,0,True,False,True,True,True
Badminton Court 6,395346,Badminton Court 6 - Wednesday  Feb 12 - 7:00 AM,2025-02-12 04:00:00,2025-02-12 05:00:00,0,0,True,False,True,True,True
Badminton Court 1,395347,Badminton Court 1 - Wednesday  Feb 12 - 8:00 AM,2025-02-12 05:00:00,2025-02-12 06:00:00,0,0,True,False,True,True,True
Badminton Court 2,395348,Badminton Court 2 - Wednesday  Feb 12 - 8:00 AM,2025-02-12 05:00:00,2025-02-12 06:00:00,0,0,True,False,True,True,True
Badminton Court 3,395349,Badminton Court 3 - Wednesday  Feb 12 - 8:00 AM,2025-02-12 05:00:00,2025-02-12 06:00:00,0,0,True,False,True,True,True
Badminton Court 4,395350,Badminton Court 4 - Wednesday  Feb 12 - 8:00 AM,2025-02-12 05:00:00,2025-02-12 06:00:00,0,0,True,False,True,True,True
Badminton Court 5,395351,Badminton Court 5 - Wednesday  Feb 12 - 8:00 AM,2025-02-12 05:00:00,2025-02-12 06:00:00,0,0,True,False,True,True,True
